BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"","adato2004ccts","Adato, Michelle","CCTs, community participation and empowerment","",,,"","",2004,"","","","Presentation prepared for the Second International Workshop on Conditional Cash Transfers, S{\~a}o Paulo, Brazil, April","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","adato2007evaluation","Adato, Michelle; Roopnaraine, Terence; Smith, Natalia; Altinok, Elif; {\c{C}}elebio{\u{g}}lu, Nurfer & Cemal, Sema","An evaluation of the conditional cash transfer program in Turkey: Second qualitative and anthropological study","International Food Policy Research Institute, Washington, DC",,,"","",2007,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ahmed2007impact","Ahmed, Akhter; Adato, Michelle; Kudat, Ayse; Gilligan, Daniel & Colasan, Refik","Impact evaluation of the conditional cash transfer program in Turkey: Final report","International Food Policy Research Institute, Washington, DC",,,"","",2007,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ahmed2006interim","Ahmed, Akhter; Gilligan, Daniel; Kudat, Ayse; Colasan, Refik; Tatlidil, Huseyin & Ozbilgin, Bulent","Interim impact evaluation of the conditional cash transfer program in Turkey: A quantitative assessment","International Food Policy Research Institute, Washington, DC",,,"","",2006,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ahmed2006interim","Ahmed, Akhter; Gilligan, Daniel; Kudat, Ayse; Colasan, Refik; Tatlidil, Huseyin & Ozbilgin, Bulent","Interim impact evaluation of the conditional cash transfer program in Turkey: A quantitative assessment","International Food Policy Research Institute, Washington, DC",,,"","",2006,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
6,"","ahmed2003public","Ahmed, Salehuddin & Nath, Samir R","Public service delivery in education: The BRAC experience","",,,"","21--23",2003,"","","","Annual Bank Conference on Development Economics, sponsored by the World Bank, Bangalore, India, May","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","albarran2003limited","Albarran, Pedro & Attanasio, Orazio P","Limited commitment and crowding out of private transfers: evidence from a randomised experiment*","The Economic Journal",113,486,"","C77--C85",2003,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","alderman2006reducing","Alderman, Harold & Behrman, Jere R","Reducing the incidence of low birth weight in low-income countries has substantial economic benefits","The World Bank Research Observer",21,1,"","25--48",2006,"","","","","","","","","World Bank","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","andrews1999safety","Andrews, Emily S; Ringold, Dena & others","Safety nets in transition economies: toward a reform strategy","",,,"","",1999,"","","","","","","","","Social Protection, World Bank","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","angelucci2009indirect","Angelucci, Manuela & De Giorgi, Giacomo","Indirect Effects of an Aid Program: How Do Cash Transfers Affect Ineligibles' Consumption?","The American Economic Review",,,"","486--508",2009,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","ashworth2001education","Ashworth, Karl; Hardman, Jay; Liu, Woon-Chia; Maguire, Sue; Middleton, Sue; Dearden, Lorraine; Emmerson, Carl; Frayne, Christine; Goodman, Alissa; Ichimura, Hidehiko & others","Education Maintenance Allowance: the first year: a quantitative evaluation","",,,"","",2001,"","","","","","","","","{\copyright} Crown copyright","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","attanasio2003limited","Attanasio, O & Albarran, Pedro","Limited commitment and crowding out of private transfers: evidence from Mexican villages","The Economic Journal",113,,"","",2003,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","attanasio2005effective","Attanasio, Orazio; Battistin, Erich; Fitzsimons, Emla & Vera-Hernandez, Marcos","How effective are conditional cash transfers? Evidence from Colombia","",,,"","",2005,"","","","","","","","","Institute for Fiscal Studies","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","attanasio2005impact","Attanasio, Orazio; Fitzsimmons, Emla & Gomez, Ana","The impact of a conditional education subsidy on school enrollment in Colombia","The Institute of Fiscal Studies, Report Summary Familias",1,,"","",2005,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","attanasio2005impact","Attanasio, Orazio; Fitzsimons, Emla & Gomez, Ana","The Impact of a Conditional Education Subsidy on School Enrolment in Rural Colombia","IFS Report Summary",1,,"","",2005,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","attanasio2006child","Attanasio, Orazio; Fitzsimons, Emla; Gomez, Ana; Lopez, Diana; Meghir, Costas & Mesnard, Alice","Child education and work choices in the presence of a conditional cash transfer programme in rural Colombia","",,,"","",2006,"","","","","","","","","CEPR Discussion Paper","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","attanasio2005short","Attanasio, Orazio; G{\'o}mez, Luis Carlos; Heredia, Patricia & Vera-Hernandez, Marcos","The short-term impact of a conditional cash subsidy on child health and nutrition in Colombia","Report summary: familias",3,,"","",2005,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","attanasio2002tests","Attanasio, Orazio & Lechene, Valerie","Tests of income pooling in household decisions","Review of economic dynamics",5,4,"","720--748",2002,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","attanasio2006impact","Attanasio, Orazio & Mesnard, Alice","The impact of a conditional cash transfer programme on consumption in Colombia*","Fiscal studies",27,4,"","421--442",2006,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","baird2007aggregate","Baird, Sarah; Friedman, Jed & Schady, Norbert","Aggregate Income Shocks and Infant Mortality in the Developing World","",,,"","",2007,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","baland2000child","Baland, Jean-Marie & Robinson, James A","Is child labor inefficient?","journal of Political Economy",108,4,"","663--679",2000,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
13,"","banerjee2005remedying","Banerjee, Abhijit; Cole, Shawn; Duflo, Esther & Linden, Leigh","Remedying education: Evidence from two randomized experiments in India","",,,"","",2005,"","","","","","","","","","","","National Bureau of Economic Research","","National Bureau of Economic Research","","","","","[Formatter not found: ResolvePDF] ",""
13,"","banerjee2005remedying","Banerjee, Abhijit; Cole, Shawn; Duflo, Esther & Linden, Leigh","Remedying education: Evidence from two randomized experiments in India","",,,"","",2005,"","","","","","","","","","","","National Bureau of Economic Research","","National Bureau of Economic Research","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ringold1999safety","Ringold, Dena & Andrews, Emily S","Safety Nets in Transition Economies: Toward a Reform Strategy","Social Protection Discussion Papers. Washington DC, World Bank",,,"","",1999,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","robinson2000child","Robinson, James A & Baland, Jean-Marie","Is Child Labor Inefficient?","Journal of Political Economy",108,4,"","",2000,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","schady2007infant","Schady, Norbert & Friedman, Jed","Infant Mortality Over the Business Cycle in the Developing World","World Bank Policy Research Working Paper Series, Vol",,,"","",2007,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
